Filename	Segment	WC	Dic	function	pronoun	ppron	i	we	you_total	you_sing	you_plur	you_formal	other	shehe	they	ipron	article	prep	auxverb	adverb	conj	negate
Transcript1_Example_Word.docx	11	4	100,00	75,00	25,00	25,00	0,00	0,00	25,00	25,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	25,00	0,00	25,00	0,00
Transcript1_Example_Word.docx	12	4	50,00	50,00	25,00	25,00	25,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	25,00	0,00	0,00	0,00
Transcript1_Example_Word.docx	13	1	100,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
Transcript1_Example_Word.docx	14	2	100,00	100,00	50,00	50,00	0,00	0,00	50,00	50,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	50,00	0,00
Transcript1_Example_Word.docx	15	4	50,00	50,00	25,00	25,00	25,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	25,00	0,00	0,00	0,00
Transcript1_Example_Word.docx	16	5	60,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
Transcript1_Example_Word.docx	17	4	100,00	50,00	25,00	25,00	0,00	0,00	25,00	25,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	25,00	0,00	0,00	0,00
Transcript1_Example_Word.docx	18	7	100,00	42,86	28,57	14,29	0,00	0,00	14,29	14,29	0,00	0,00	0,00	0,00	0,00	14,29	14,29	0,00	0,00	0,00	14,29	0,00
Transcript1_Example_Word.docx	19	2	100,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
Transcript1_Example_Word.docx	20	7	100,00	85,71	28,57	28,57	14,29	0,00	0,00	0,00	0,00	0,00	14,29	14,29	0,00	0,00	14,29	14,29	14,29	0,00	14,29	0,00
Transcript1_Example_Word.docx	21	6	100,00	50,00	16,67	16,67	16,67	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	16,67	0,00	16,67	0,00	0,00	0,00
Transcript1_Example_Word.docx	22	9	100,00	77,78	11,11	11,11	0,00	0,00	11,11	11,11	0,00	0,00	0,00	0,00	0,00	0,00	22,22	11,11	11,11	0,00	22,22	0,00
Transcript1_Example_Word.docx	23	12	91,67	66,67	8,33	8,33	8,33	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	25,00	8,33	0,00	25,00	0,00
Transcript1_Example_Word.docx	24	5	100,00	60,00	20,00	20,00	0,00	0,00	20,00	20,00	0,00	0,00	0,00	0,00	0,00	0,00	40,00	0,00	0,00	0,00	0,00	20,00
Transcript1_Example_Word.docx	25	2	50,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
Transcript1_Example_Word.docx	26	1	100,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
Transcript1_Example_Word.docx	27	5	100,00	60,00	20,00	20,00	0,00	0,00	20,00	20,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	40,00	0,00
Transcript1_Example_Word.docx	28	13	84,62	46,15	7,69	7,69	7,69	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	7,69	15,38	7,69	0,00	7,69	7,69
Transcript1_Example_Word.docx	29	4	100,00	25,00	25,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	25,00	0,00	0,00	0,00	25,00	0,00
Transcript1_Example_Word.docx	30	1	100,00	100,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	100,00	0,00
Transcript1_Example_Word.docx	31	2	50,00	50,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	50,00	0,00	0,00
